Run,A* Time (s),Dijkstra Time (s),A* Path Length,Dijkstra Path Length
271,0.0,0.0010099411010742188,21,21
272,0.0,0.0,11,11
273,0.0,0.0009982585906982422,25,25
274,0.0,0.0,10,10
275,0.0,0.0,13,13
276,0.0,0.0,7,7
277,0.0,0.0,16,16
278,0.0,0.0010166168212890625,21,21
279,0.0,0.0,18,18
280,0.000990152359008789,0.0,26,26
281,0.0,0.0,23,23
282,0.0,0.0,16,16
283,0.0,0.0,5,5
284,0.0,0.0009999275207519531,21,21
285,0.0,0.0,18,18
286,0.0,0.0010037422180175781,24,24
287,0.0,0.0,11,11
288,0.0,0.0009965896606445312,19,19
289,0.0,0.0,19,19
290,0.0,0.0,12,12
291,0.0010852813720703125,0.0,28,28
292,0.0,0.0,13,13
293,0.0,0.0,4,4
294,0.0,0.0,8,8
295,0.0,0.0,12,12
296,0.0,0.0,13,13
297,0.0,0.0009899139404296875,16,16
298,0.0,0.0,24,24
299,0.0,0.0,10,10
300,0.0,0.0,21,21
301,0.0,0.0010004043579101562,22,22
302,0.0,0.0,21,21
303,0.0,0.0,7,7
304,0.0009920597076416016,0.0,29,29
305,0.0,0.0010075569152832031,21,21
306,0.0,0.0,13,13
307,0.0,0.0009944438934326172,26,26
308,0.0,0.0,14,14
309,0.0,0.0010154247283935547,22,22
310,0.0,0.0,6,6
311,0.0,0.0,8,8
312,0.0,0.0,11,11
313,0.0,0.0,6,6
314,0.0009903907775878906,0.0,32,32
315,0.0,0.0011856555938720703,21,21
316,0.0,0.0,12,12
317,0.0,0.0,11,11
318,0.0,0.0,13,13
319,0.0,0.0,9,9
320,0.0,0.0,17,17
321,0.0,0.0,18,18
322,0.0,0.0009989738464355469,17,17
323,0.0,0.0,10,10
324,0.0,0.0,4,4
325,0.0,0.0,14,14
326,0.0,0.0010006427764892578,21,21
327,0.0,0.0,15,15
328,0.0,0.0009951591491699219,15,15
329,0.0,0.0,14,14
330,0.0010056495666503906,0.0,0,0
331,0.0009982585906982422,0.0,19,19
332,0.0,0.0,16,16
333,0.0,0.0,9,9
334,0.0,0.0,17,17
335,0.0,0.0,11,11
336,0.0010001659393310547,0.0,30,30
337,0.0,0.0010001659393310547,30,30
338,0.0,0.0009996891021728516,29,29
339,0.0,0.00019979476928710938,16,16
340,0.0,0.0,11,11
341,0.0,0.0,21,21
342,0.0010178089141845703,0.0,18,18
343,0.0,0.0009903907775878906,37,37
344,0.0,0.0,22,22
345,0.0,0.0,0,0
346,0.0,0.0,5,5
347,0.0,0.0009996891021728516,14,14
348,0.0,0.0,11,11
349,0.0,0.0,6,6
350,0.0,0.0,8,8
351,0.0,0.0,3,3
352,0.0,0.0,6,6
353,0.0,0.0009999275207519531,18,18
354,0.0,0.0,7,7
355,0.0,0.0,20,20
356,0.0009999275207519531,0.0,14,14
357,0.0,0.0,18,18
358,0.0,0.0,11,11
359,0.0009999275207519531,0.0,8,8
360,0.0,0.0,9,9
361,0.0,0.0,23,23
362,0.0009922981262207031,0.0,32,32
363,0.0,0.0,11,11
364,0.0,0.0,9,9
365,0.0,0.0,12,12
366,0.0,0.0,27,27
367,0.0,0.0,13,13
368,0.0,0.0,11,11
369,0.0,0.0,12,12
370,0.0,0.0,8,8
371,0.0009999275207519531,0.0003001689910888672,19,19
372,0.0,0.0,7,7
373,0.0,0.0,20,20
374,0.0,0.0010099411010742188,27,27
375,0.0,0.0,9,9
376,0.0,0.0009989738464355469,27,27
377,0.0,0.0,4,4
378,0.0,0.0,8,8
379,0.0,0.0,29,29
380,0.0,0.0009999275207519531,16,16
381,0.0,0.0,18,18
382,0.0,0.0010101795196533203,25,25
383,0.0,0.0,4,4
384,0.0,0.0,3,3
385,0.0,0.0,19,19
386,0.0,0.0009996891021728516,21,21
387,0.0,0.0,25,25
388,0.0,0.0009903907775878906,16,16
389,0.0,0.0,6,6
390,0.0,0.0,10,10
391,0.0,0.0,12,12
392,0.0,0.00099945068359375,18,18
393,0.0,0.0,19,19
394,0.0,0.0009999275207519531,25,25
395,0.0,0.0,12,12
396,0.0,0.0,4,4
397,0.0,0.0010001659393310547,16,16
398,0.0,0.0,13,13
399,0.0,0.0,26,26
400,0.0,0.0002357959747314453,19,19
401,0.0,0.0,15,15
402,0.0,0.0,21,21
403,0.0010030269622802734,0.0,18,18
404,0.0,0.0,13,13
405,0.0,0.0010142326354980469,24,24
406,0.0,0.0,22,22
407,0.0,0.0,5,5
408,0.0,0.0,7,7
409,0.0,0.000997781753540039,0,0
410,0.0,0.0,20,20
411,0.0,0.0010004043579101562,17,17
412,0.0,0.0,11,11
413,0.0,0.0,23,23
414,0.0,0.00099945068359375,24,24
415,0.0,0.0,16,16
416,0.0010004043579101562,0.0,30,30
417,0.0,0.0009925365447998047,26,26
418,0.0,0.0,17,17
419,0.0,0.0,8,8
420,0.0,0.0,5,5
421,8.988380432128906e-05,5.841255187988281e-05,20,20
422,0.0,0.0,10,10
423,0.0,0.0,19,19
424,0.0,0.0010099411010742188,15,15
425,0.0,0.0,11,11
426,0.0,0.0009984970092773438,24,24
427,0.0,0.0,25,25
428,0.0,0.0,14,14
429,0.0,0.0009996891021728516,0,0
430,0.0,0.0,12,12
431,0.0,0.0,21,21
432,0.0,0.0010061264038085938,8,8
433,0.0,0.0,16,16
434,0.0,0.0009884834289550781,20,20
435,0.0,0.0,19,19
436,0.0,0.0010058879852294922,12,12
437,0.0,0.0,25,25
438,0.0,0.0,18,18
439,0.0010001659393310547,0.0,25,25
440,0.0,0.0010023117065429688,33,33
441,0.0,0.0,17,17
442,0.0,0.000997781753540039,14,14
443,9.489059448242188e-05,0.0,23,23
444,0.0,0.0,11,11
445,0.0,0.0010504722595214844,20,20
446,0.0,0.0,17,17
447,0.0,0.0,7,7
448,0.0,0.0,11,11
449,0.0,0.0,16,16
450,0.0,0.0010018348693847656,13,13
451,0.0,0.0,25,25
452,0.0,0.0,6,6
453,0.0,0.0,16,16
454,0.0,0.0,18,18
455,0.0,0.0,12,12
456,0.0,0.0,2,2
457,0.0,0.0010001659393310547,7,7
458,0.0,0.0,28,28
459,0.0,0.0,9,9
460,0.0,0.0,10,10
461,0.0,0.0,5,5
462,0.0,0.0,16,16
463,0.0,0.0,14,14
464,0.0,0.0,16,16
465,0.0009996891021728516,0.0,24,24
466,0.0,0.0,16,16
467,0.0,0.0010001659393310547,8,8
468,0.0,0.0,24,24
469,0.0,0.0009932518005371094,21,21
470,0.0,0.0,19,19
471,0.0,0.0,10,10
472,0.0,0.00110626220703125,9,9
473,0.0,0.00018835067749023438,15,15
474,0.0,0.0,10,10
475,0.0,0.0010008811950683594,23,23
476,0.0,0.0,29,29
477,0.0,0.0010082721710205078,19,19
478,0.0,0.0,20,20
479,0.0,0.00099945068359375,27,27
480,0.0,0.0,20,20
481,0.0,0.0,6,6
482,0.0,0.0,9,9
483,0.0,0.0,16,16
484,0.0,0.0,19,19
485,0.0,0.0,11,11
486,0.0,0.0,11,11
487,0.0,0.0,2,2
488,0.0,0.0,10,10
489,0.0,0.0,14,14
490,0.0,0.0009920597076416016,12,12
491,0.0,0.0,4,4
492,0.0,0.0,13,13
493,0.0,0.0,7,7
494,0.0,0.0,7,7
495,0.0010154247283935547,0.0,24,24
496,0.0,0.0,7,7
497,0.0,0.0009915828704833984,15,15
498,0.0,0.0,18,18
499,0.0,0.0,17,17
500,0.0009999275207519531,0.0,24,24
501,0.0,0.0009999275207519531,22,22
502,0.0,0.00019478797912597656,14,14
503,0.0,0.0,14,14
504,0.0,0.0,16,16
505,0.0,0.0010101795196533203,24,24
506,0.0,0.0,15,15
507,0.0,0.0009915828704833984,19,19
508,0.0,0.0,24,24
509,0.0,0.0010013580322265625,18,18
510,0.0,0.0,8,8
511,0.0,0.0,16,16
512,0.0,0.0010061264038085938,13,13
513,0.0,0.0,22,22
514,0.0,0.00099945068359375,27,27
515,0.0,0.0,25,25
516,0.0,0.0010001659393310547,22,22
517,0.0,0.0,18,18
518,0.0,0.0009999275207519531,12,12
519,0.0,0.0,2,2
520,0.0,0.0009999275207519531,0,0
521,0.0,0.0,11,11
522,0.0010004043579101562,0.0,19,19
523,0.0,0.0009937286376953125,29,29
524,0.0,0.0,7,7
525,0.0,0.0,11,11
526,0.0,0.0,18,18
527,0.0,0.0,9,9
528,0.0,0.0,15,15
529,0.0,0.0,12,12
530,0.0009996891021728516,0.0,27,27
531,0.0,0.0010001659393310547,25,25
532,0.0,0.0,13,13
533,0.0,0.0,14,14
534,0.0,0.0009996891021728516,16,16
535,0.0,0.0,13,13
536,0.0,0.0,23,23
537,0.0009996891021728516,0.0,16,16
538,0.0,0.0,4,4
539,0.0,0.0,8,8
540,0.0,0.0010004043579101562,21,21
541,0.0,0.0,27,27
542,0.0010099411010742188,0.0,25,25
543,0.0,0.0,7,7
544,0.0,0.0,14,14
545,0.000990152359008789,0.0,19,19
546,0.0,0.0009996891021728516,27,27
547,0.0,0.0,5,5
548,0.0,0.0,19,19
549,0.0,0.0011069774627685547,20,20
550,0.0,0.00022673606872558594,22,22
551,0.0,0.0,18,18
552,0.0,0.0010094642639160156,17,17
553,0.0,0.0,21,21
554,0.0,0.00099945068359375,22,22
555,0.0,0.0,25,25
556,0.0,0.0,21,21
557,0.0,0.0010120868682861328,18,18
558,0.0,0.0,17,17
559,0.0,0.0,11,11
560,0.0,0.0009932518005371094,17,17
561,0.0,0.0,8,8
562,0.0,0.0,15,15
563,0.0,0.0009996891021728516,19,19
564,0.0,0.0,12,12
565,0.0,0.0,6,6
566,0.0,0.0,13,13
567,0.0,0.00099945068359375,16,16
568,0.0,0.0,12,12
569,0.0,0.0,6,6
570,0.0,0.0,3,3
571,0.0,0.0,17,17
572,0.0,0.0,13,13
573,0.0,0.0,22,22
574,0.0,0.0,8,8
575,0.0009999275207519531,0.0003211498260498047,16,16
576,0.0,0.0,8,8
577,0.0,0.0,17,17
578,0.0,0.0010027885437011719,20,20
579,0.0,0.0,7,7
580,0.0,0.0,22,22
581,0.0,0.0,0,0
582,0.0010056495666503906,0.0,21,21
583,0.0,0.0,6,6
584,0.0,0.0,0,0
585,0.0,0.0,13,13
586,0.0,0.0009999275207519531,12,12
587,0.0,0.0,17,17
588,0.0,0.0010001659393310547,19,19
589,0.0,0.0,12,12
590,0.0,0.0,18,18
591,0.0,0.0009999275207519531,18,18
592,0.0,0.0,10,10
593,0.0,0.0010004043579101562,19,19
594,0.0,0.0,12,12
595,0.0,0.0,16,16
596,0.0,0.0009913444519042969,18,18
597,0.0,0.0,22,22
598,0.0,0.0,11,11
599,0.0,0.0010182857513427734,21,21
600,0.0,0.0,13,13
601,0.0,0.0,6,6
602,0.0,0.0009906291961669922,26,26
603,0.0,0.0,22,22
604,0.0,0.00113677978515625,23,23
605,0.0002827644348144531,0.0,17,17
606,0.0,0.0,13,13
607,0.0,0.0,9,9
608,0.0,0.0010097026824951172,16,16
609,0.0,0.0,7,7
610,0.0,0.0,22,22
611,0.0,0.0,14,14
612,0.0,0.0,11,11
613,0.0,0.0,20,20
614,0.0,0.0009930133819580078,16,16
615,0.0,0.0,9,9
616,0.0,0.0,19,19
617,0.0,0.0,5,5
618,0.0,0.0,6,6
619,0.0,0.0010156631469726562,40,40
620,0.0,0.0,15,15
621,0.0,0.0,13,13
622,0.0,0.000989675521850586,10,10
623,0.0,0.0,20,20
624,0.0,0.0009996891021728516,17,17
625,0.0,0.0,13,13
626,0.0,0.0,10,10
627,0.0,0.0,12,12
628,0.0010004043579101562,0.0,25,25
629,0.0,0.001230478286743164,25,25
630,0.0,0.0,5,5
631,0.0,0.0,10,10
632,0.0,0.0,12,12
633,0.0010094642639160156,0.0,26,26
634,0.0,0.000993490219116211,21,21
635,0.0,0.0,17,17
636,0.0,0.0,9,9
637,0.0,0.0,10,10
638,0.0,0.0,23,23
639,0.0,0.0,4,4
640,0.0,0.0009996891021728516,17,17
641,0.0,0.0,9,9
642,0.0,0.0009996891021728516,28,28
643,0.0,0.0,8,8
644,0.0,0.0,20,20
645,0.0,0.0,10,10
646,0.0010037422180175781,0.0,17,17
647,0.0,0.0,9,9
648,0.0,0.0,7,7
649,0.0,0.0,9,9
650,0.0,0.0009970664978027344,14,14
651,0.0,0.0,8,8
652,0.0,0.0,28,28
653,0.0,0.0,19,19
654,0.0,0.0,17,17
655,0.0,0.0009958744049072266,22,22
656,0.0,0.0,21,21
657,0.0,0.0010998249053955078,19,19
658,0.0,0.00020313262939453125,24,24
659,0.0,0.0,14,14
660,0.0,0.0,10,10
661,0.0,0.0,18,18
662,0.0,0.0009989738464355469,28,28
663,0.0,0.0,16,16
664,0.0,0.0,27,27
665,0.0,0.0,3,3
666,0.0,0.0,27,27
667,0.0,0.0010001659393310547,14,14
668,0.0,0.0,12,12
669,0.0,0.0,5,5
670,0.0,0.000993967056274414,28,28
671,0.0,0.0,14,14
672,0.0,0.0,11,11
673,0.0,0.0,12,12
674,0.00101470947265625,0.0,24,24
675,0.0,0.0009913444519042969,23,23
676,0.0,0.0,20,20
677,0.0,0.0,8,8
678,0.0,0.0009996891021728516,19,19
679,0.0,0.0010001659393310547,0,0
680,0.0,0.0,25,25
681,0.0,0.0,12,12
682,0.0,0.0012598037719726562,20,20
683,0.0,0.0,27,27
684,0.0,0.0,0,0
685,0.0,0.0,4,4
686,0.0,0.0010099411010742188,11,11
687,0.0,0.0,18,18
688,0.0,0.0009937286376953125,25,25
689,0.0,0.0,13,13
690,0.0,0.0010137557983398438,26,26
691,0.0,0.0,24,24
692,0.0,0.0009913444519042969,17,17
693,0.0,0.0,7,7
694,0.0,0.0,15,15
695,0.0,0.0009999275207519531,22,22
696,0.0,0.0,12,12
697,0.0,0.0009999275207519531,29,29
698,0.0,0.0,9,9
699,0.0,0.0,4,4
700,0.0,0.0009999275207519531,19,19
701,0.0,0.0,11,11
702,0.0,0.0,10,10
703,0.0,0.0,6,6
704,0.0,0.0,9,9
705,0.0,0.0009999275207519531,17,17
706,0.0,0.0,18,18
707,0.0,0.0,7,7
708,0.0,0.0013022422790527344,30,30
709,0.0,0.0,22,22
710,0.0,0.0010111331939697266,20,20
711,0.0,0.0,9,9
712,0.0,0.0,11,11
713,0.0,0.0,7,7
714,0.0,0.0,11,11
715,0.0009982585906982422,0.0,30,30
716,0.0,0.00099945068359375,20,20
717,0.0,0.0,14,14
718,0.0,0.0,9,9
719,0.0,0.0,10,10
720,0.0,0.0010001659393310547,11,11
721,0.0,0.0,19,19
722,0.0,0.0,11,11
723,0.0009999275207519531,0.0,17,17
724,0.0,0.0,7,7
725,0.0,0.0,9,9
726,0.0,0.0009930133819580078,15,15
727,0.0,0.0,17,17
728,0.0,0.0010013580322265625,25,25
729,0.0,0.0,14,14
730,0.0,0.0,13,13
731,0.0,0.001005411148071289,15,15
732,0.0,0.0,23,23
733,0.0,0.0010001659393310547,13,13
734,0.0,0.0,16,16
735,0.0,0.0011143684387207031,23,23
736,0.0,0.0002014636993408203,9,9
737,0.0,0.0,2,2
738,0.0,0.0,25,25
739,0.001010894775390625,0.0,0,0
740,0.0009980201721191406,0.0,17,17
741,0.0,0.0,16,16
742,0.000993490219116211,0.0,23,23
743,0.0,0.0,11,11
744,0.0,0.0010161399841308594,20,20
745,0.0,0.0,23,23
746,0.0,0.0,5,5
747,0.0009906291961669922,0.0,19,19
748,0.0,0.0,19,19
749,0.0,0.0009996891021728516,15,15
750,0.0,0.0,18,18
751,0.0,0.0,7,7
752,0.0,0.0,12,12
753,0.0,0.0009996891021728516,7,7
754,0.0,0.0,20,20
755,0.0,0.0010008811950683594,28,28
756,0.0,0.0,19,19
757,0.0,0.0009987354278564453,27,27
758,0.0,0.0,27,27
759,0.0,0.0,2,2
760,0.0,0.0010826587677001953,12,12
761,0.0,0.0,15,15
762,0.0,0.0,10,10
763,0.0,0.0,12,12
764,0.0,0.0,9,9
765,0.0010111331939697266,0.0,15,15
766,0.0,0.0,5,5
767,0.0,0.0,16,16
768,0.0,0.0,5,5
769,0.0009996891021728516,0.0,12,12
770,0.0,0.0,15,15
771,0.0,0.0,8,8
772,0.0,0.0,11,11
773,0.0,0.0010073184967041016,25,25
774,0.0,0.0,9,9
775,0.0,0.0010004043579101562,20,20
776,0.0,0.0,8,8
777,0.0,0.0,14,14
778,0.0,0.0009999275207519531,14,14
779,0.0,0.0,19,19
780,0.0,0.0,9,9
781,0.0,0.0009927749633789062,12,12
782,0.0,0.0,10,10
783,0.0,0.0,4,4
784,0.0,0.0010170936584472656,28,28
785,0.0,0.0,3,3
786,0.0,0.000990152359008789,23,23
787,0.0,0.0,28,28
788,0.0,0.0,10,10
789,0.0,0.0,7,7
790,0.0012388229370117188,0.0,31,31
791,0.0,0.0,11,11
792,0.0,0.0010099411010742188,12,12
793,0.0,0.0,27,27
794,0.0,0.0,7,7
795,0.0,0.00099945068359375,9,9
796,0.0,0.0,25,25
797,0.0,0.0009925365447998047,13,13
798,0.0,0.0,3,3
799,0.0,0.0,22,22
800,0.0,0.0010008811950683594,20,20
801,0.0,0.0,13,13
802,0.0,0.0,14,14
803,0.0010061264038085938,0.0,24,24
804,0.0,0.0,10,10
805,0.0,0.0010004043579101562,22,22
806,0.0,0.0,13,13
807,0.0010023117065429688,0.0,22,22
808,0.0,0.0,5,5
809,0.0,0.0009975433349609375,19,19
810,0.0,0.0,24,24
811,0.0,0.0010006427764892578,12,12
812,0.0,0.00024199485778808594,14,14
813,0.0,0.0,6,6
814,0.0,0.0010027885437011719,28,28
815,0.0,0.0010013580322265625,29,29
816,0.0,0.0,14,14
817,0.0,0.0,13,13
818,0.0,0.0,18,18
819,0.0,0.0,14,14
820,0.0,0.0009961128234863281,24,24
821,0.0,0.0,22,22
822,0.0,0.0,9,9
823,0.0,0.0,8,8
824,0.0,0.0009927749633789062,0,0
825,0.0,0.0010073184967041016,0,0
826,0.0,0.0,7,7
827,0.0,0.0,14,14
828,0.0,0.000993967056274414,13,13
829,0.0,0.0,11,11
830,0.0,0.0,19,19
831,0.0,0.0010151863098144531,17,17
832,0.0,0.0009911060333251953,22,22
833,0.00011372566223144531,0.0,16,16
834,0.0,0.0,11,11
835,0.0,0.0010106563568115234,23,23
836,0.0,0.0009984970092773438,26,26
837,0.0,0.0,8,8
838,0.0,0.0,5,5
839,0.0,0.0,21,21
840,0.0,0.0010030269622802734,12,12
841,0.0,0.0,25,25
842,0.0,0.0009968280792236328,21,21
843,0.0,0.0,10,10
844,0.0,0.0,5,5
845,0.000993490219116211,0.0,30,30
846,0.0,0.0010144710540771484,16,16
847,0.0,0.0,5,5
848,0.0,0.0,18,18
849,0.0,0.0,5,5
850,0.0,0.0,10,10
851,0.0,0.0009920597076416016,19,19
852,0.0,0.0,17,17
853,0.0,0.0,9,9
854,0.0,0.0010001659393310547,14,14
855,0.0,0.0,6,6
856,0.0,0.0,18,18
857,0.0009999275207519531,0.0,10,10
858,0.0,0.0,18,18
859,0.0,0.0011098384857177734,15,15
860,0.00011873245239257812,0.0,22,22
861,0.0,0.0,15,15
862,0.0,0.0,22,22
863,0.0009908676147460938,0.0,21,21
